Bin-size	Zeitschritt_0	Zeitschritt_1	Zeitschritt_2	Zeitschritt_3	Zeitschritt_4	Zeitschritt_5	Zeitschritt_6	Zeitschritt_7	Zeitschritt_8	Zeitschritt_9	Zeitschritt_10	Zeitschritt_11	Zeitschritt_12	Zeitschritt_13	Zeitschritt_14	Zeitschritt_15	
141.747	0	0	0	7.3031e+18	8.62202e+19	4.24336e+20	1.31911e+21	3.0937e+21	6.006e+21	1.01923e+22	1.56528e+22	2.22682e+22	2.98321e+22	3.80868e+22	4.67557e+22	5.55692e+22	
151.991	0	0	0	1.11843e+20	9.39427e+20	3.20599e+21	7.36204e+21	1.34618e+22	2.12277e+22	3.01833e+22	3.97822e+22	4.95019e+22	5.88995e+22	6.76351e+22	7.54745e+22	8.22778e+22	
162.975	0	0	1.18644e+21	5.03951e+21	1.16265e+22	2.01927e+22	2.97409e+22	3.93662e+22	4.83902e+22	5.63782e+22	6.31036e+22	6.8495e+22	7.25866e+22	7.54769e+22	7.72985e+22	7.81971e+22	
174.753	0	0	0	0	2.28721e+18	2.73e+19	1.3762e+20	4.41511e+20	1.07082e+21	2.14852e+21	3.76149e+21	5.94597e+21	8.6858e+21	1.19199e+22	1.55547e+22	1.94774e+22	
187.382	0	0	0	4.36676e+21	1.39976e+22	2.81797e+22	4.556e+22	6.46516e+22	8.40949e+22	1.02779e+23	1.19882e+23	1.34861e+23	1.47419e+23	1.57452e+23	1.65007e+23	1.70229e+23	
200.923	0	0	2.06224e+22	4.81199e+22	7.54716e+22	9.93785e+22	1.18594e+23	1.32961e+23	1.42864e+23	1.4891e+23	1.51766e+23	1.52068e+23	1.50383e+23	1.47195e+23	1.42905e+23	1.3784e+23	
215.443	0	9.67665e+22	1.62047e+23	2.04592e+23	2.30646e+23	2.44779e+23	2.5036e+23	2.49881e+23	2.45181e+23	2.37615e+23	2.2818e+23	2.17603e+23	2.06415e+23	1.94995e+23	1.83613e+23	1.72458e+23	
231.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
247.708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
265.609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
284.804	9.67665e+23	8.70898e+23	7.83809e+23	7.05428e+23	6.34885e+23	5.71396e+23	5.14257e+23	4.62831e+23	4.16548e+23	3.74893e+23	3.37404e+23	3.03663e+23	2.73297e+23	2.45967e+23	2.21371e+23	1.99234e+23	
305.386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
351.119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
376.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
403.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
432.876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
464.159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
497.702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
572.237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
613.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
657.933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
705.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
756.463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
811.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
869.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
932.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
